stop_id,stop_code,stop_descr,stop_desr_matrix,stop_street,stoptyp_code,dimos,perioxi,stop_url
760002,760002,32η ΦΥΛΗΣ,32nd FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760002
760003,760003,33η ΦΥΛΗΣ,33rd FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760003
760004,760004,ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760004
760005,760005,ΠΑΛ.ΤΕΡΜΑ,PAL.TERMA,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760005
760006,760006,ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760006
760007,760007,33η ΦΥΛΗΣ,33rd FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760007
760008,760008,32η ΦΥΛΗΣ,32nd FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760008
760009,760009,31η ΦΥΛΗΣ,31st FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΑΝΩ ΛΙΟΣΙΩΝ,http://telematics.oasa.gr/#stationInfo_760009
760010,760010,ΑΓ. ΚΥΠΡΙΑΝΟΣ,AG. KYPRIANOS,ΑΝΩΝΥΜΟΥ ΠΑΡΑΠΛ.ΓΗΠΕΔΟΥ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760010
760011,760011,ΓΗΠΕΔΟ,GHPEDO,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760011
760013,760013,ΑΦΕΤΗΡΙΑ,AFETHRIA,ΔΙΑΜΟΡΦΩΜΕΝΟ ΧΩΡΟ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760013
760014,760014,ΑΓ. ΚΥΠΡΙΑΝΟΣ,AG. KYPRIANOS,ΓΗΡΟΚΟΜΕΙΟΥ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760014
